Neighborhood	Homicide	Assault	Robbery	Burglary 	Total	Population
ACTON	4	23	2	21	50	2277
AINSLIE	0	37	3	57	97	5313
AMAROO	0	33	1	36	70	5849
ARANDA	0	12	3	18	33	2500
BANKS	0	10	1	25	36	4924
BARTON	0	15	2	17	34	1439
BEARD	0	0	0	3	3	0
BELCONNEN	0	210	31	135	376	6189
BLACK MOUNTAIN	0	0	0	0	0	0
BONNER	0	24	1	24	49	5215
BONYTHON	0	22	2	37	61	3747
BRADDON	0	38	11	104	153	5842
BRUCE	0	38	5	61	104	7614
CALWELL	1	31	7	46	85	5643
CAMPBELL	0	24	3	42	69	5610
CAPITAL HILL	0	0	1	0	1	0
CASEY	0	31	8	21	60	4674
CHAPMAN	0	6	0	22	28	2640
CHARNWOOD	0	21	4	24	49	3040
CHIFLEY	0	14	0	29	43	2720
CHISHOLM	0	28	6	50	84	5168
CITY	0	451	34	76	561	3860
CONDER	0	45	7	34	86	5088
COOK	0	4	1	14	19	2852
COOMBS	0	15	3	41	59	1811
CRACE	0	6	0	16	22	3980
CURTIN	0	23	1	48	72	5322
DEAKIN	0	12	0	38	50	2749
DENMAN PROSPECT	0	2	0	8	10	490
DICKSON	0	43	7	62	112	2284
DOWNER	0	11	0	26	37	3667
DUFFY	0	11	1	22	34	3155
DUNLOP	0	35	2	12	49	7354
DUNTROON	0	0	0	0	0	1700
EVATT	0	22	3	38	63	5349
FADDEN	0	6	0	23	29	3034
FARRER	0	7	1	20	28	3433
FISHER	0	14	3	21	38	2945
FLOREY	0	33	6	58	97	5070
FLYNN	0	13	2	29	44	3498
FORDE	0	8	2	17	27	4368
FORREST	0	9	0	23	32	1643
FRANKLIN	0	10	1	46	57	6355
FRASER	0	11	0	9	20	2133
FYSHWICK	0	38	8	120	166	56
GARRAN	0	78	2	27	107	3405
GILMORE	0	15	2	16	33	2747
GIRALANG	0	19	2	21	42	3314
GORDON	0	48	7	41	96	7668
GOWRIE	0	10	1	18	29	2987
GREENWAY	0	60	10	46	116	1818
GRIFFITH	0	43	7	93	143	4255
GUNGAHLIN	0	61	7	69	137	70871
HACKETT	0	7	1	24	32	2898
HALL	0	1	0	7	8	339
HARMAN	0	0	0	0	0	0
HARRISON	0	25	4	35	64	8725
HAWKER	0	27	2	20	49	2849
HIGGINS	0	13	1	19	33	3020
HOLDER	0	3	2	22	27	2600
HOLT	0	50	10	51	111	4799
HUGHES	1	6	0	22	29	2990
HUME	0	25	1	19	45	320
ISAACS	0	2	1	20	23	2351
ISABELLA PLAINS	0	27	8	44	79	4338
JACKA	0	3	1	3	7	670
KALEEN	1	26	10	49	86	7525
KAMBAH	0	120	14	143	277	15019
KENNY	0	4	0	1	5	0
KINGSTON	0	14	3	95	112	5535
KINLYSIDE	0	0	0	0	0	0
LATHAM	0	20	4	18	42	3479
LAWSON	0	6	1	19	26	398
LYNEHAM	0	34	5	98	137	4965
LYONS	0	26	3	49	78	3122
MACARTHUR	0	2	1	2	5	1440
MACGREGOR	0	29	5	22	56	6545
MACQUARIE	0	30	4	30	64	2697
MAJURA	0	1	1	2	4	253
MAWSON	0	22	4	54	80	3067
MCKELLAR	0	12	2	15	29	2869
MELBA	0	32	2	34	68	3198
MITCHELL	0	15	0	33	48	9
MOLONGLO	0	0	0	0	0	376
MONASH	0	24	3	37	64	5363
MONCRIEFF	0	25	2	34	61	105
NARRABUNDAH	0	55	7	81	143	6095
NGUNNAWAL	0	49	6	57	112	10342
NICHOLLS	0	31	1	43	75	6802
OAKS ESTATE	0	15	4	11	30	251
O'CONNOR	0	25	3	55	83	5660
O'MALLEY	0	3	0	7	10	965
OXLEY	0	5	2	7	14	1737
PAGE	0	34	3	30	67	2912
PALMERSTON	0	36	4	35	75	5668
PARKES	0	11	1	7	19	5
PEARCE	0	14	4	19	37	2498
PHILLIP	0	86	26	109	221	2378
PIALLIGO	0	1	1	4	6	120
RED HILL	0	13	0	30	43	3279
REID	0	48	11	35	94	1792
RICHARDSON	0	26	0	15	41	2967
RIVETT	1	17	4	21	43	2955
RUSSELL	0	4	0	1	5	0
SCULLIN	0	12	1	28	41	2845
SPENCE	0	8	0	22	30	2591
STIRLING	0	18	1	25	44	2024
STROMLO	0	0	0	3	3	0
SYMONSTON	0	11	1	8	20	559
TAYLOR	0	0	0	0	0	0
THARWA	0	1	0	3	4	81
THEODORE	0	22	1	24	47	3871
THROSBY	0	0	0	4	4	4440
TORRENS	0	6	2	10	18	2195
TURNER	0	25	2	50	77	4053
URIARRA	0	0	0	1	1	30
WANNIASSA	0	63	21	81	165	7545
WARAMANGA	0	12	2	36	50	2442
WATSON	0	21	1	33	55	6129
WEETANGERA	0	5	2	12	19	2600
WESTON	0	23	6	59	88	3332
WILLIAMSDALE	0	0	0	0	0	21
WRIGHT	0	4	1	31	36	2753
YARRALUMLA	0	10	2	26	38	2869
