Neighborhood	Postcode	Country	Region
ACTON	2601	Australia	Australian Capital Territory
AINSLIE	2602	Australia	Australian Capital Territory
AMAROO	2914	Australia	Australian Capital Territory
ARANDA	2614	Australia	Australian Capital Territory
BANKS	2906	Australia	Australian Capital Territory
BARTON	2600	Australia	Australian Capital Territory
BEARD	2620	Australia	Australian Capital Territory
BELCONNEN	2617	Australia	Australian Capital Territory
BLACK MOUNTAIN	2601	Australia	Australian Capital Territory
BONNER	2914	Australia	Australian Capital Territory
BONYTHON	2905	Australia	Australian Capital Territory
BRADDON	2612	Australia	Australian Capital Territory
BRUCE	2617	Australia	Australian Capital Territory
CALWELL	2905	Australia	Australian Capital Territory
CAMPBELL	2612	Australia	Australian Capital Territory
CAPITAL HILL	2600	Australia	Australian Capital Territory
CASEY	2913	Australia	Australian Capital Territory
CHAPMAN	2611	Australia	Australian Capital Territory
CHARNWOOD	2615	Australia	Australian Capital Territory
CHIFLEY	2606	Australia	Australian Capital Territory
CHISHOLM	2905	Australia	Australian Capital Territory
CITY	2601	Australia	Australian Capital Territory
CONDER	2906	Australia	Australian Capital Territory
COOK	2614	Australia	Australian Capital Territory
COOMBS	2611	Australia	Australian Capital Territory
CRACE	2911	Australia	Australian Capital Territory
CURTIN	2605	Australia	Australian Capital Territory
DEAKIN	2600	Australia	Australian Capital Territory
DENMAN PROSPECT	2611	Australia	Australian Capital Territory
DICKSON	2602	Australia	Australian Capital Territory
DOWNER	2602	Australia	Australian Capital Territory
DUFFY	2611	Australia	Australian Capital Territory
DUNLOP	2615	Australia	Australian Capital Territory
DUNTROON	2600	Australia	Australian Capital Territory
EVATT	2617	Australia	Australian Capital Territory
FADDEN	2904	Australia	Australian Capital Territory
FARRER	2607	Australia	Australian Capital Territory
FISHER	2611	Australia	Australian Capital Territory
FLOREY	2615	Australia	Australian Capital Territory
FLYNN	2615	Australia	Australian Capital Territory
FORDE	2914	Australia	Australian Capital Territory
FORREST	2603	Australia	Australian Capital Territory
FRANKLIN	2913	Australia	Australian Capital Territory
FRASER	2615	Australia	Australian Capital Territory
FYSHWICK	2609	Australia	Australian Capital Territory
GARRAN	2605	Australia	Australian Capital Territory
GILMORE	2905	Australia	Australian Capital Territory
GIRALANG	2617	Australia	Australian Capital Territory
GORDON	2906	Australia	Australian Capital Territory
GOWRIE	2904	Australia	Australian Capital Territory
GREENWAY	2900	Australia	Australian Capital Territory
GRIFFITH	2603	Australia	Australian Capital Territory
GUNGAHLIN	2912	Australia	Australian Capital Territory
HACKETT	2602	Australia	Australian Capital Territory
HALL	2618	Australia	Australian Capital Territory
HARMAN	2600	Australia	Australian Capital Territory
HARRISON	2914	Australia	Australian Capital Territory
HAWKER	2614	Australia	Australian Capital Territory
HIGGINS	2615	Australia	Australian Capital Territory
HOLDER	2611	Australia	Australian Capital Territory
HOLT	2615	Australia	Australian Capital Territory
HUGHES	2605	Australia	Australian Capital Territory
HUME	2620	Australia	Australian Capital Territory
ISAACS	2607	Australia	Australian Capital Territory
ISABELLA PLAINS	2905	Australia	Australian Capital Territory
JACKA	2914	Australia	Australian Capital Territory
KALEEN	2617	Australia	Australian Capital Territory
KAMBAH	2902	Australia	Australian Capital Territory
KENNY	2902	Australia	Australian Capital Territory
KINGSTON	2604	Australia	Australian Capital Territory
KINLYSIDE	2913	Australia	Australian Capital Territory
LATHAM	2615	Australia	Australian Capital Territory
LAWSON	2617	Australia	Australian Capital Territory
LYNEHAM	2602	Australia	Australian Capital Territory
LYONS	2606	Australia	Australian Capital Territory
MACARTHUR	2904	Australia	Australian Capital Territory
MACGREGOR	2615	Australia	Australian Capital Territory
MACQUARIE	2614	Australia	Australian Capital Territory
MAJURA	2609	Australia	Australian Capital Territory
MAWSON	2607	Australia	Australian Capital Territory
MCKELLAR	2617	Australia	Australian Capital Territory
MELBA	2615	Australia	Australian Capital Territory
MITCHELL	2911	Australia	Australian Capital Territory
MOLONGLO	2911	Australia	Australian Capital Territory
MONASH	2904	Australia	Australian Capital Territory
MONCRIEFF	2914	Australia	Australian Capital Territory
NARRABUNDAH	2604	Australia	Australian Capital Territory
NGUNNAWAL	2913	Australia	Australian Capital Territory
NICHOLLS	2913	Australia	Australian Capital Territory
OAKS ESTATE	2620	Australia	Australian Capital Territory
O'CONNOR	2602	Australia	Australian Capital Territory
O'MALLEY	2606	Australia	Australian Capital Territory
OXLEY	2903	Australia	Australian Capital Territory
PAGE	2614	Australia	Australian Capital Territory
PALMERSTON	2913	Australia	Australian Capital Territory
PARKES	2600	Australia	Australian Capital Territory
PEARCE	2607	Australia	Australian Capital Territory
PHILLIP	2606	Australia	Australian Capital Territory
PIALLIGO	2609	Australia	Australian Capital Territory
RED HILL	2603	Australia	Australian Capital Territory
REID	2612	Australia	Australian Capital Territory
RICHARDSON	2905	Australia	Australian Capital Territory
RIVETT	2611	Australia	Australian Capital Territory
RUSSELL	2600	Australia	Australian Capital Territory
SCULLIN	2614	Australia	Australian Capital Territory
SPENCE	2615	Australia	Australian Capital Territory
STIRLING	2611	Australia	Australian Capital Territory
STROMLO	2611	Australia	Australian Capital Territory
SYMONSTON	2609	Australia	Australian Capital Territory
TAYLOR	2913	Australia	Australian Capital Territory
THARWA	2620	Australia	Australian Capital Territory
THEODORE	2905	Australia	Australian Capital Territory
THROSBY	2905	Australia	Australian Capital Territory
TORRENS	2607	Australia	Australian Capital Territory
TURNER	2612	Australia	Australian Capital Territory
URIARRA	2611	Australia	Australian Capital Territory
WANNIASSA	2903	Australia	Australian Capital Territory
WARAMANGA	2611	Australia	Australian Capital Territory
WATSON	2602	Australia	Australian Capital Territory
WEETANGERA	2614	Australia	Australian Capital Territory
WESTON	2611	Australia	Australian Capital Territory
WILLIAMSDALE	2611	Australia	Australian Capital Territory
WRIGHT	2611	Australia	Australian Capital Territory
YARRALUMLA	2600	Australia	Australian Capital Territory
